year,points
1990,2679.45
1991,2929.04
1992,3284.08
1993,3524.92
1994,3794.22
1995,4494.28
1996,5739.63
1997,7447.01
1998,8630.76
1999,10481.56
2000,10729.38
2001,10199.29
2002,9214.85
2003,9006.64
2004,10315.51
2005,10546.66
2006,11409.78
2007,13178.26
2008,11244.06
2009,8885.65
2010,10668.58
2011,11957.57
2012,12966.44
2013,15009.52
2014,16777.69
2015,17587.03
2016,17927.11
2017,21750.20
2018,25046.86
2019,26379.59
2020,26890.67
2021,34055.29
2022,32898.34
2023,34121.54
2024,39807.37
